idx,year,month,day,miss,need,bought,peak_bldg_buy_kwh,offpeak_bldg_buy_kwh,peak_chg_buy_kwh,offpeak_chg_buy_kwh,policy
640,2023,6,6,3.552713678800501e-15,56.6592,67.60262345513547,1034.11875,259.06875,67.60262345513546,0.0,2.0
641,2023,6,7,0.0,51.16,60.84600151893049,1218.8125,273.07916666666665,60.846001518930514,0.0,2.0
642,2023,6,8,0.0,71.01879999999998,90.4187127340983,1198.975,228.2083333333333,90.41871273409834,0.0,2.0
643,2023,6,9,0.0,61.4838,77.42318441607158,1025.625,226.3625,77.4231844160716,0.0,2.0
644,2023,6,10,0.0,12.4682,13.767908480482353,455.5875,215.375,13.767908480482353,0.0,2.0
645,2023,6,11,0.0,15.721199999999998,21.24488450489969,474.3,233.35,21.244884504899684,0.0,2.0
646,2023,6,12,0.0,143.79180000000002,160.63543587755203,1357.35,251.3875,160.63543587755208,0.0,2.0
647,2023,6,13,0.0,69.40359999999998,90.66334139954536,1365.5,259.5875,90.66334139954536,0.0,2.0
648,2023,6,14,0.0,119.0214,137.21123928191696,1322.5875,256.04999999999995,137.21123928191702,0.0,2.0
649,2023,6,15,7.105427357601002e-15,109.3388,124.33677642769425,1246.3,259.8125,124.3367764276942,0.0,2.0
650,2023,6,16,0.0,74.97739999999999,85.71876790399972,1318.7125,253.1375,85.71876790399972,0.0,2.0
651,2023,6,17,0.0,10.256000000000002,14.548992672766431,524.875,248.0625,14.548992672766436,0.0,2.0
652,2023,6,18,0.0,6.431999999999999,8.959222927925028,535.3416666666667,231.1208333333333,8.95922292792503,0.0,2.0
653,2023,6,19,0.0,101.9282,122.01087633882383,1005.875,245.35,122.01087633882383,0.0,2.0
654,2023,6,20,0.0,58.408,70.73171786177825,1177.6,238.0,70.73171786177824,0.0,2.0
655,2023,6,21,0.0,107.49440000000004,128.9143559742148,1133.49375,234.63958333333332,128.9143559742148,0.0,2.0
656,2023,6,22,7.105427357601002e-15,65.82560000000001,80.38097731770017,1121.4625,244.01666666666665,80.38097731770014,0.0,2.0
657,2023,6,23,0.0,103.02219999999996,124.94610669699124,1185.4375,244.2875,124.94610669699124,0.0,2.0
658,2023,6,24,0.0,10.924400000000006,13.785538958840412,498.2416666666667,247.5958333333333,13.785538958840403,0.0,2.0
659,2023,6,25,0.0,22.68079999999999,31.673519965504333,496.35,245.275,31.673519965504344,0.0,2.0
660,2023,6,26,7.105427357601002e-15,121.9614,143.08925190776125,1137.85,253.1625,143.0892519077612,0.0,2.0
661,2023,6,27,0.0,52.69800000000001,65.6914074294938,1052.0229166666668,266.81875,65.69140742949381,0.0,2.0
662,2023,6,28,3.552713678800501e-15,50.264,62.67713538429395,1073.2375000000002,318.9833333333333,62.67713538429395,0.0,2.0
663,2023,6,29,0.0,87.84,106.34875346304231,1224.3125,330.63750000000005,106.34875346304231,0.0,2.0
664,2023,6,30,0.0,93.87659999999998,115.72093256430776,1496.5625,337.525,115.72093256430776,0.0,2.0
665,2023,11,1,0.0,49.1666,59.50474444738092,1248.1125,288.41666666666663,59.50474444738089,0.0,2.0
666,2023,11,2,0.0,66.0546,84.93440706538189,1210.2125,278.3625,84.93440706538192,0.0,2.0
667,2023,11,3,0.0,47.89679999999999,58.4611621894386,1287.0,276.625,58.46116218943861,0.0,2.0
668,2023,11,4,0.0,16.596,22.159958775475506,549.8125,276.2875,22.159958775475506,0.0,2.0
669,2023,11,5,0.0,18.6808,29.65657216672745,581.9625000000001,257.0,29.656572166727425,0.0,2.0
670,2023,11,6,0.0,112.68,128.023026798293,1302.375,259.1625,128.0230267982929,0.0,2.0
671,2023,11,7,0.0,66.95480000000002,85.29293537151605,1267.8625,251.225,85.29293537151604,0.0,2.0
672,2023,11,8,0.0,66.82480000000001,75.11723957102949,1311.2875,263.875,75.1172395710295,0.0,2.0
673,2023,11,9,0.0,57.150000000000006,70.49404423859914,1216.5375,260.1875,70.49404423859914,0.0,2.0
674,2023,11,10,0.0,46.5372,56.24821334934752,847.725,245.575,56.248213349347495,0.0,2.0
675,2023,11,11,0.0,10.006799999999998,13.698975701994732,569.5375,257.85,13.698975701994744,0.0,2.0
676,2023,11,12,0.0,3.968000000000007,4.663904577868074,534.65,266.8875,4.663904577868074,0.0,2.0
677,2023,11,13,0.0,97.1444,113.61036933738592,1126.6749999999995,268.6,113.6103693373859,0.0,2.0
678,2023,11,14,0.0,94.0996,105.0973968534531,1342.8249999999998,271.85,105.0973968534531,0.0,2.0
679,2023,11,15,0.0,97.6496,115.93545945699634,1258.5500000000002,280.825,115.93545945699634,0.0,2.0
